date,machine,shift,actual_run,planned,units,good_units,defect_code
2024-01-08,Press #2,Day,473,480,677,674,DEF-001
2024-01-08,Press #2,Night,431,480,823,820,DEF-004
2024-01-08,Assembly Line A,Day,404,480,747,730,DEF-011
2024-01-08,Assembly Line A,Night,397,480,866,861,DEF-007
2024-01-08,Weld Station B,Day,439,480,777,775,DEF-011
2024-01-08,Weld Station B,Night,450,480,700,699,NONE
2024-01-09,CNC Mill #4,Day,381,480,697,690,DEF-004
2024-01-09,CNC Mill #4,Night,432,480,898,883,DEF-004
2024-01-09,Press #2,Day,431,480,680,675,DEF-011
2024-01-09,Press #2,Night,380,480,849,841,DEF-011
2024-01-09,Assembly Line A,Day,416,480,866,849,DEF-011
2024-01-09,Assembly Line A,Night,399,480,747,738,DEF-004
2024-01-09,Weld Station B,Day,387,480,681,671,DEF-001
2024-01-09,Weld Station B,Night,386,480,894,878,NONE
2024-01-10,CNC Mill #4,Day,400,480,679,663,DEF-001
2024-01-10,CNC Mill #4,Night,403,480,685,683,DEF-004
2024-01-10,Press #2,Day,431,480,711,693,DEF-004
2024-01-10,Press #2,Night,454,480,670,668,DEF-011
2024-01-10,Assembly Line A,Day,464,480,917,907,DEF-007
2024-01-10,Assembly Line A,Night,406,480,810,803,DEF-007
2024-01-10,Weld Station B,Day,430,480,717,708,DEF-011
2024-01-10,Weld Station B,Night,420,480,687,687,DEF-011
2024-01-11,CNC Mill #4,Day,459,480,701,699,NONE
2024-01-11,CNC Mill #4,Night,407,480,909,901,DEF-004
2024-01-11,Press #2,Day,424,480,685,678,DEF-007
2024-01-11,Press #2,Night,416,480,730,716,NONE
2024-01-11,Assembly Line A,Day,470,480,804,788,DEF-001
2024-01-11,Assembly Line A,Night,465,480,803,800,DEF-004
2024-01-11,Weld Station B,Day,413,480,709,706,NONE
2024-01-11,Weld Station B,Night,399,480,789,780,NONE
2024-01-12,CNC Mill #4,Day,406,480,825,819,DEF-007
2024-01-12,CNC Mill #4,Night,444,480,900,892,DEF-001
2024-01-12,Press #2,Day,391,480,866,858,DEF-001
2024-01-12,Press #2,Night,380,480,820,816,DEF-007
2024-01-12,Assembly Line A,Day,400,480,876,859,DEF-011
2024-01-12,Assembly Line A,Night,451,480,654,651,DEF-001
2024-01-12,Weld Station B,Day,468,480,726,709,DEF-001
2024-01-12,Weld Station B,Night,427,480,725,712,DEF-004
2024-01-13,CNC Mill #4,Day,385,480,807,796,DEF-001
2024-01-13,CNC Mill #4,Night,425,480,757,750,DEF-001
2024-01-13,Press #2,Day,425,480,858,854,DEF-004
2024-01-13,Press #2,Night,400,480,740,727,DEF-001
2024-01-13,Assembly Line A,Day,402,480,820,807,DEF-004
2024-01-13,Assembly Line A,Night,414,480,731,728,DEF-011
2024-01-13,Weld Station B,Day,384,480,890,883,DEF-004
2024-01-13,Weld Station B,Night,438,480,829,820,DEF-004
2024-01-14,CNC Mill #4,Day,408,480,662,656,DEF-011
2024-01-14,CNC Mill #4,Night,422,480,792,790,DEF-007
2024-01-14,Press #2,Day,424,480,910,898,NONE
2024-01-14,Press #2,Night,422,480,664,661,DEF-007
2024-01-14,Assembly Line A,Day,402,480,785,784,DEF-001
2024-01-14,Assembly Line A,Night,456,480,872,861,DEF-007
2024-01-14,Weld Station B,Day,435,480,911,908,DEF-011
2024-01-14,Weld Station B,Night,453,480,747,739,DEF-001
2024-01-15,CNC Mill #4,Day,470,480,873,873,NONE
2024-01-15,CNC Mill #4,Night,448,480,750,739,DEF-011
2024-01-15,Press #2,Day,388,480,819,809,DEF-001
2024-01-15,Press #2,Night,472,480,803,787,DEF-007
2024-01-15,Assembly Line A,Day,465,480,859,849,DEF-011
2024-01-15,Assembly Line A,Night,469,480,801,784,DEF-004
2024-01-15,Weld Station B,Day,404,480,865,853,DEF-004
2024-01-15,Weld Station B,Night,458,480,804,792,NONE
2024-01-16,CNC Mill #4,Day,380,480,805,796,DEF-004
2024-01-16,CNC Mill #4,Night,435,480,814,800,DEF-011
2024-01-16,Press #2,Day,436,480,759,743,DEF-011
2024-01-16,Press #2,Night,474,480,736,734,DEF-007
2024-01-16,Assembly Line A,Day,445,480,821,819,DEF-004
2024-01-16,Assembly Line A,Night,466,480,808,801,DEF-004
2024-01-16,Weld Station B,Day,398,480,662,661,DEF-004
2024-01-16,Weld Station B,Night,440,480,687,673,DEF-011
2024-01-17,CNC Mill #4,Day,460,480,749,737,DEF-011
2024-01-17,CNC Mill #4,Night,431,480,774,770,DEF-001
2024-01-17,Press #2,Day,476,480,704,691,DEF-004
2024-01-17,Press #2,Night,402,480,915,901,DEF-001
2024-01-17,Assembly Line A,Day,451,480,777,774,DEF-011
2024-01-17,Assembly Line A,Night,397,480,887,871,NONE
2024-01-17,Weld Station B,Day,456,480,812,798,NONE
2024-01-17,Weld Station B,Night,472,480,908,895,NONE
2024-01-18,CNC Mill #4,Day,437,480,731,716,DEF-011
2024-01-18,CNC Mill #4,Night,413,480,776,768,NONE
2024-01-18,Press #2,Day,442,480,772,764,DEF-011
2024-01-18,Press #2,Night,389,480,796,789,DEF-007
2024-01-18,Assembly Line A,Day,422,480,813,796,DEF-001
2024-01-18,Assembly Line A,Night,397,480,727,720,DEF-011
2024-01-18,Weld Station B,Day,468,480,728,722,DEF-001
2024-01-18,Weld Station B,Night,433,480,858,848,NONE
2024-01-19,CNC Mill #4,Day,439,480,862,861,DEF-004
2024-01-19,CNC Mill #4,Night,433,480,849,831,DEF-001
2024-01-19,Press #2,Day,477,480,844,829,DEF-001
2024-01-19,Press #2,Night,425,480,802,790,DEF-011
2024-01-19,Assembly Line A,Day,448,480,762,747,DEF-004
2024-01-19,Assembly Line A,Night,414,480,873,858,DEF-001
2024-01-19,Weld Station B,Day,429,480,822,810,DEF-004
2024-01-19,Weld Station B,Night,439,480,715,698,DEF-001
2024-01-20,CNC Mill #4,Day,430,480,663,661,DEF-011
2024-01-20,CNC Mill #4,Night,397,480,886,881,DEF-001
2024-01-20,Press #2,Day,413,480,844,834,DEF-004
2024-01-20,Press #2,Night,438,480,817,807,DEF-011
2024-01-20,Assembly Line A,Day,415,480,865,857,DEF-001
2024-01-20,Assembly Line A,Night,440,480,659,642,DEF-001
2024-01-20,Weld Station B,Day,424,480,764,762,DEF-001
2024-01-20,Weld Station B,Night,476,480,665,658,DEF-004
2024-01-21,CNC Mill #4,Day,382,480,728,721,DEF-004
2024-01-21,CNC Mill #4,Night,440,480,708,690,DEF-004
2024-01-21,Press #2,Day,439,480,781,770,DEF-004
2024-01-21,Press #2,Night,457,480,708,703,DEF-007
2024-01-21,Assembly Line A,Day,393,480,663,654,NONE
2024-01-21,Assembly Line A,Night,466,480,842,830,DEF-004
2024-01-21,Weld Station B,Day,389,480,774,771,DEF-007
2024-01-21,Weld Station B,Night,467,480,711,693,DEF-001
2024-01-22,CNC Mill #4,Day,424,480,869,858,DEF-001
2024-01-22,CNC Mill #4,Night,444,480,824,824,DEF-011
2024-01-22,Press #2,Day,442,480,704,691,DEF-007
2024-01-22,Press #2,Night,461,480,885,881,DEF-011
2024-01-22,Assembly Line A,Day,402,480,917,909,NONE
2024-01-22,Assembly Line A,Night,448,480,897,883,DEF-011
2024-01-22,Weld Station B,Day,473,480,787,777,DEF-004
2024-01-22,Weld Station B,Night,391,480,792,778,DEF-004
2024-01-23,CNC Mill #4,Day,476,480,887,869,NONE
2024-01-23,CNC Mill #4,Night,465,480,844,834,DEF-001
2024-01-23,Press #2,Day,443,480,816,811,DEF-011
2024-01-23,Press #2,Night,407,480,831,823,DEF-007
2024-01-23,Assembly Line A,Day,415,480,791,774,DEF-001
2024-01-23,Assembly Line A,Night,446,480,747,745,DEF-004
2024-01-23,Weld Station B,Day,472,480,858,843,NONE
2024-01-23,Weld Station B,Night,477,480,773,758,DEF-011
2024-01-24,CNC Mill #4,Day,437,480,658,656,DEF-007
2024-01-24,CNC Mill #4,Night,408,480,857,850,DEF-007
2024-01-24,Press #2,Day,464,480,838,823,NONE
2024-01-24,Press #2,Night,447,480,826,813,NONE
2024-01-24,Assembly Line A,Day,422,480,830,816,DEF-007
2024-01-24,Assembly Line A,Night,419,480,778,771,DEF-001
2024-01-24,Weld Station B,Day,472,480,748,738,DEF-001
2024-01-24,Weld Station B,Night,475,480,744,738,DEF-004
2024-01-25,CNC Mill #4,Day,474,480,897,889,NONE
2024-01-25,CNC Mill #4,Night,477,480,918,909,DEF-001
2024-01-25,Press #2,Day,404,480,801,794,DEF-007
2024-01-25,Press #2,Night,402,480,804,804,NONE
2024-01-25,Assembly Line A,Day,396,480,790,789,DEF-001
2024-01-25,Assembly Line A,Night,450,480,799,795,DEF-011
2024-01-25,Weld Station B,Day,393,480,656,638,DEF-007
2024-01-25,Weld Station B,Night,440,480,895,881,DEF-007
2024-01-26,CNC Mill #4,Day,403,480,676,668,DEF-011
2024-01-26,CNC Mill #4,Night,394,480,683,671,DEF-011
2024-01-26,Press #2,Day,389,480,677,673,DEF-004
2024-01-26,Press #2,Night,452,480,805,803,DEF-004
2024-01-26,Assembly Line A,Day,395,480,863,856,NONE
2024-01-26,Assembly Line A,Night,428,480,880,866,DEF-007
2024-01-26,Weld Station B,Day,455,480,869,860,NONE
2024-01-26,Weld Station B,Night,459,480,680,677,DEF-004
2024-01-27,CNC Mill #4,Day,460,480,758,750,DEF-001
2024-01-27,CNC Mill #4,Night,400,480,772,767,NONE
2024-01-27,Press #2,Day,389,480,730,730,DEF-011
2024-01-27,Press #2,Night,437,480,890,881,DEF-001
2024-01-27,Assembly Line A,Day,409,480,797,788,DEF-011
2024-01-27,Assembly Line A,Night,389,480,769,761,NONE
2024-01-27,Weld Station B,Day,464,480,751,738,DEF-001
2024-01-27,Weld Station B,Night,449,480,765,761,DEF-007
2024-01-28,CNC Mill #4,Day,398,480,686,685,DEF-004
2024-01-28,CNC Mill #4,Night,419,480,797,783,DEF-001
2024-01-28,Press #2,Day,439,480,805,793,DEF-007
2024-01-28,Press #2,Night,444,480,902,888,DEF-001
2024-01-28,Assembly Line A,Day,456,480,670,657,DEF-007
2024-01-28,Assembly Line A,Night,457,480,778,778,DEF-001
2024-01-28,Weld Station B,Day,409,480,660,652,NONE
2024-01-28,Weld Station B,Night,385,480,739,724,NONE
2024-01-29,CNC Mill #4,Day,463,480,876,868,DEF-004
2024-01-29,CNC Mill #4,Night,454,480,873,858,DEF-001
2024-01-29,Press #2,Day,440,480,828,815,DEF-007
2024-01-29,Press #2,Night,421,480,703,698,DEF-007
2024-01-29,Assembly Line A,Day,432,480,903,894,DEF-011
2024-01-29,Assembly Line A,Night,477,480,668,654,DEF-001
2024-01-29,Weld Station B,Day,420,480,779,769,DEF-001
2024-01-29,Weld Station B,Night,478,480,856,840,DEF-001
2024-01-30,CNC Mill #4,Day,464,480,886,873,DEF-001
2024-01-30,CNC Mill #4,Night,404,480,915,904,NONE
2024-01-30,Press #2,Day,476,480,905,891,DEF-001
2024-01-30,Press #2,Night,406,480,786,769,DEF-004
2024-01-30,Assembly Line A,Day,416,480,874,859,DEF-001
2024-01-30,Assembly Line A,Night,383,480,772,767,DEF-007
2024-01-30,Weld Station B,Day,450,480,657,640,DEF-011
2024-01-30,Weld Station B,Night,391,480,765,762,DEF-011
